"","GameDate","start_date","end_date"
"246",2019-05-25,2019-05-25,2019-05-25
"247",2019-05-26,2019-05-26,2019-05-26
"248",2019-05-27,2019-05-27,2019-05-27
"249",2019-05-28,2019-05-28,2019-05-28
"250",2019-05-29,2019-05-29,2019-05-29
"251",2019-05-30,2019-05-30,2019-05-30
"252",2019-05-31,2019-05-31,2019-05-31
"253",2019-06-01,2019-06-01,2019-06-01
"254",2019-06-02,2019-06-02,2019-06-02
"255",2019-06-03,2019-06-03,2019-06-03
"256",2019-06-04,2019-06-04,2019-06-04
"257",2019-06-05,2019-06-05,2019-06-05
"258",2019-06-06,2019-06-06,2019-06-06
"259",2019-06-07,2019-06-07,2019-06-07
"260",2019-06-08,2019-06-08,2019-06-08
"261",2019-06-09,2019-06-09,2019-06-09
"262",2019-06-10,2019-06-10,2019-06-10
"263",2019-06-11,2019-06-11,2019-06-11
"264",2019-06-12,2019-06-12,2019-06-12
"265",2019-06-13,2019-06-13,2019-06-13
"266",2019-06-14,2019-06-14,2019-06-14
"267",2019-06-15,2019-06-15,2019-06-15
"268",2019-06-16,2019-06-16,2019-06-16
"269",2019-06-17,2019-06-17,2019-06-17
"270",2019-06-18,2019-06-18,2019-06-18
"271",2019-06-19,2019-06-19,2019-06-19
"272",2019-06-20,2019-06-20,2019-06-20
"273",2019-06-21,2019-06-21,2019-06-21
"274",2019-06-22,2019-06-22,2019-06-22
"275",2019-06-23,2019-06-23,2019-06-23
"276",2019-06-24,2019-06-24,2019-06-24
"277",2019-06-25,2019-06-25,2019-06-25
"278",2019-06-26,2019-06-26,2019-06-26
"279",2019-06-27,2019-06-27,2019-06-27
"280",2019-06-28,2019-06-28,2019-06-28
"281",2019-06-29,2019-06-29,2019-06-29
"282",2019-06-30,2019-06-30,2019-06-30
"283",2019-07-01,2019-07-01,2019-07-01
"284",2019-07-02,2019-07-02,2019-07-02
"285",2019-07-03,2019-07-03,2019-07-03
"286",2019-07-04,2019-07-04,2019-07-04
"287",2019-07-05,2019-07-05,2019-07-05
"288",2019-07-06,2019-07-06,2019-07-06
"289",2019-07-07,2019-07-07,2019-07-07
"290",2019-07-08,2019-07-08,2019-07-08
"291",2019-07-09,2019-07-09,2019-07-09
"292",2019-07-10,2019-07-10,2019-07-10
"293",2019-07-11,2019-07-11,2019-07-11
"294",2019-07-12,2019-07-12,2019-07-12
"295",2019-07-13,2019-07-13,2019-07-13
"296",2019-07-14,2019-07-14,2019-07-14
"297",2019-07-15,2019-07-15,2019-07-15
"298",2019-07-16,2019-07-16,2019-07-16
"299",2019-07-17,2019-07-17,2019-07-17
"300",2019-07-18,2019-07-18,2019-07-18
"301",2019-07-19,2019-07-19,2019-07-19
"302",2019-07-20,2019-07-20,2019-07-20
"303",2019-07-21,2019-07-21,2019-07-21
"304",2019-07-22,2019-07-22,2019-07-22
"305",2019-07-23,2019-07-23,2019-07-23
"306",2019-07-24,2019-07-24,2019-07-24
"307",2019-07-25,2019-07-25,2019-07-25
"308",2019-07-26,2019-07-26,2019-07-26
"309",2019-07-27,2019-07-27,2019-07-27
"310",2019-07-28,2019-07-28,2019-07-28
"311",2019-07-29,2019-07-29,2019-07-29
"312",2019-07-30,2019-07-30,2019-07-30
"313",2019-07-31,2019-07-31,2019-07-31
"314",2019-08-01,2019-08-01,2019-08-01
"315",2019-08-02,2019-08-02,2019-08-02
"316",2019-08-03,2019-08-03,2019-08-03
"317",2019-08-04,2019-08-04,2019-08-04
"318",2019-08-05,2019-08-05,2019-08-05
"319",2019-08-06,2019-08-06,2019-08-06
"320",2019-08-07,2019-08-07,2019-08-07
"321",2019-08-08,2019-08-08,2019-08-08
"322",2019-08-09,2019-08-09,2019-08-09
"323",2019-08-10,2019-08-10,2019-08-10
"324",2019-08-11,2019-08-11,2019-08-11
"325",2019-08-12,2019-08-12,2019-08-12
"326",2019-08-13,2019-08-13,2019-08-13
"327",2019-08-14,2019-08-14,2019-08-14
"328",2019-08-15,2019-08-15,2019-08-15
"329",2019-08-16,2019-08-16,2019-08-16
"330",2019-08-17,2019-08-17,2019-08-17
"331",2019-08-18,2019-08-18,2019-08-18
"332",2019-08-19,2019-08-19,2019-08-19
"333",2019-08-20,2019-08-20,2019-08-20
"334",2019-08-21,2019-08-21,2019-08-21
"335",2019-08-22,2019-08-22,2019-08-22
"336",2019-08-23,2019-08-23,2019-08-23
"337",2019-08-24,2019-08-24,2019-08-24
"338",2019-08-25,2019-08-25,2019-08-25
"339",2019-08-26,2019-08-26,2019-08-26
"340",2019-08-27,2019-08-27,2019-08-27
"341",2019-08-28,2019-08-28,2019-08-28
"342",2019-08-29,2019-08-29,2019-08-29
"343",2019-08-30,2019-08-30,2019-08-30
"344",2019-08-31,2019-08-31,2019-08-31
"345",2019-09-01,2019-09-01,2019-09-01
"346",2019-09-02,2019-09-02,2019-09-02
"347",2019-09-03,2019-09-03,2019-09-03
"348",2019-09-04,2019-09-04,2019-09-04
"349",2019-09-05,2019-09-05,2019-09-05
"350",2019-09-06,2019-09-06,2019-09-06
"351",2019-09-07,2019-09-07,2019-09-07
"352",2019-09-08,2019-09-08,2019-09-08
"353",2019-09-09,2019-09-09,2019-09-09
"354",2019-09-10,2019-09-10,2019-09-10
"355",2019-09-11,2019-09-11,2019-09-11
"356",2019-09-12,2019-09-12,2019-09-12
"357",2019-09-13,2019-09-13,2019-09-13
"358",2019-09-14,2019-09-14,2019-09-14
"359",2019-09-15,2019-09-15,2019-09-15
"360",2019-09-16,2019-09-16,2019-09-16
"361",2019-09-17,2019-09-17,2019-09-17
"362",2019-09-18,2019-09-18,2019-09-18
"363",2019-09-19,2019-09-19,2019-09-19
"364",2019-09-20,2019-09-20,2019-09-20
"365",2019-09-21,2019-09-21,2019-09-21
"366",2019-09-22,2019-09-22,2019-09-22
"367",2019-09-23,2019-09-23,2019-09-23
"368",2019-09-24,2019-09-24,2019-09-24
"369",2019-09-25,2019-09-25,2019-09-25
"370",2019-09-26,2019-09-26,2019-09-26
"371",2019-09-27,2019-09-27,2019-09-27
"372",2019-09-28,2019-09-28,2019-09-28
"373",2019-09-29,2019-09-29,2019-09-29
